aniso_fs	aniso_fsc	dldir_fs	dliso_fs	dlsyn_fs	iso_fs	iso_fsc	res_fs	res_fsc	synth_fs
1594137.000000	1500332.000000	1215142.000000	1280157.000000	1229690.000000	1620820.000000	1495853.000000	1597477.000000	1500395.000000	1654475.000000
1503693.000000	1416192.000000	1154264.000000	1214732.000000	1177220.000000	1541908.000000	1411847.000000	1520556.000000	1419093.000000	1556541.000000
1445951.000000	1362819.000000	1141994.000000	1141980.000000	1160748.000000	1472262.000000	1332779.000000	1432959.000000	1365820.000000	1523076.000000
1458879.000000	1361797.000000	1061416.000000	1039149.000000	1116130.000000	1436320.000000	1297150.000000	1459524.000000	1365018.000000	1521720.000000
1549119.000000	1471317.000000	1178589.000000	1224350.000000	1220190.000000	1580900.000000	1433635.000000	1541101.000000	1474465.000000	1629501.000000
1564624.000000	1463402.000000	1190904.000000	1227120.000000	1215103.000000	1574822.000000	1450042.000000	1564945.000000	1462753.000000	1614140.000000
1547872.000000	1445837.000000	1193980.000000	1220036.000000	1220419.000000	1571893.000000	1446388.000000	1546249.000000	1453330.000000	1618824.000000
1575579.000000	1504988.000000	1255618.000000	1284059.000000	1248214.000000	1574236.000000	1465422.000000	1576868.000000	1510364.000000	1652510.000000
1388671.000000	1309640.000000	1082086.000000	1100535.000000	1094147.000000	1401350.000000	1281666.000000	1390247.000000	1309138.000000	1455732.000000
1362132.000000	1253987.000000	1057223.000000	1079838.000000	1058486.000000	1350028.000000	1244641.000000	1363686.000000	1257628.000000	1396591.000000
1347553.000000	1255240.000000	989091.000000	1027880.000000	1034953.000000	1337929.000000	1230167.000000	1355927.000000	1258286.000000	1396614.000000
1630817.000000	1550675.000000	1256857.000000	1322143.000000	1283441.000000	1657083.000000	1527688.000000	1629848.000000	1552279.000000	1702673.000000
1292071.000000	1207455.000000	1014665.000000	1039591.000000	1018034.000000	1311248.000000	1205893.000000	1283084.000000	1210485.000000	1332622.000000
1511282.000000	1392523.000000	1163754.000000	1180481.000000	1169211.000000	1518829.000000	1390454.000000	1513822.000000	1395786.000000	1558007.000000
1468307.000000	1381592.000000	1152472.000000	1158735.000000	1138151.000000	1458445.000000	1356818.000000	1460209.000000	1381635.000000	1520622.000000
1459553.000000	1348710.000000	1069774.000000	1120717.000000	1098065.000000	1446800.000000	1336194.000000	1451164.000000	1351299.000000	1504584.000000
1353818.000000	1241963.000000	1010145.000000	1029845.000000	1040901.000000	1342691.000000	1231383.000000	1358240.000000	1250997.000000	1406609.000000
1569749.000000	1489518.000000	1186709.000000	1246680.000000	1218997.000000	1600467.000000	1464124.000000	1565331.000000	1486159.000000	1656737.000000
1248043.000000	1140519.000000	949756.000000	992986.000000	962741.000000	1266234.000000	1141675.000000	1254211.000000	1141271.000000	1289934.000000
1251370.000000	1200206.000000	912271.000000	1013413.000000	972253.000000	1324487.000000	1208517.000000	1255120.000000	1199999.000000	1329655.000000
1480918.000000	1363204.000000	1133388.000000	1165337.000000	1137517.000000	1443396.000000	1343911.000000	1471753.000000	1367240.000000	1520322.000000
1704627.000000	1588516.000000	1233027.000000	1239686.000000	1293023.000000	1697576.000000	1551151.000000	1697001.000000	1599643.000000	1763464.000000
1583456.000000	1450900.000000	1202912.000000	1230061.000000	1200185.000000	1583756.000000	1457804.000000	1577251.000000	1454709.000000	1605362.000000
1282189.000000	1174559.000000	961450.000000	963354.000000	971094.000000	1283523.000000	1158165.000000	1285981.000000	1175235.000000	1333094.000000
1236913.000000	1144954.000000	966973.000000	1013277.000000	961674.000000	1233106.000000	1135751.000000	1243213.000000	1146870.000000	1289117.000000
1472265.000000	1353787.000000	1092533.000000	1102786.000000	1106198.000000	1434307.000000	1315978.000000	1468793.000000	1358873.000000	1498238.000000
1541351.000000	1428662.000000	1245126.000000	1262797.000000	1225916.000000	1544255.000000	1412035.000000	1564347.000000	1438270.000000	1596003.000000
1557884.000000	1484315.000000	1207716.000000	1255092.000000	1249933.000000	1599054.000000	1473948.000000	1566013.000000	1500762.000000	1643018.000000
1242328.000000	1136524.000000	911437.000000	902714.000000	948476.000000	1197064.000000	1098788.000000	1243474.000000	1135918.000000	1300520.000000
1351912.000000	1250677.000000	1069132.000000	1120534.000000	1058872.000000	1365265.000000	1249642.000000	1372851.000000	1257257.000000	1402108.000000
1373307.000000	1338309.000000	942762.000000	990495.000000	1088795.000000	1384383.000000	1273667.000000	1363688.000000	1340942.000000	1474380.000000
1376463.000000	1279588.000000	1048426.000000	1067063.000000	1063699.000000	1377310.000000	1267303.000000	1372584.000000	1281932.000000	1420287.000000
1314830.000000	1228969.000000	982131.000000	1033795.000000	999328.000000	1322431.000000	1215080.000000	1312671.000000	1230389.000000	1369427.000000
1343523.000000	1234359.000000	1023691.000000	1066347.000000	1028412.000000	1357012.000000	1233828.000000	1332831.000000	1239683.000000	1384082.000000
